CENSUS YEAR|TRACT|BLOCK GROUP|FIPS ID|TOTAL POPULATION|POPULATION WHITE|POPULATION BLACK|POPULATION ASIAN|POPULATION OTHER|POPULATION AMERICAN INDIAN|POPULATION PACIFIC ISLANDER|POPULATION ONE RACE|POPULATION MULTI RACE|POPULATION 25 OLDER|MEDIAN AGE|MEDIAN HOUSEHOLD INCOME|HIGH SCHOOL MALE|HIGH SCHOOL MORE MALE|COLLEGE 1 YR LESS MALE|COLLEGE 1 YR MORE MALE|ASSOCIATES DEGREE MALE|BACHELORS DEGREE MALE|MASTERS DEGREE MALE|PROFESSIONAL DEGREE MALE|DOCTORAL DEGREE MALE|HIGH SCHOOL FEMALE|HIGH SCHOOL MORE FEMALE|COLLEGE 1 YR LESS FEMALE|COLLEGE 1 YR MORE FEMALE|ASSOCIATES DEGREE FEMALE|BACHELORS DEGREE FEMALE|MASTERS DEGREE FEMALE|PROFESSIONAL DEGREE FEMALE|DOCTORAL DEGREE FEMALE|PERCENT 25 YR OVER HIGH SCHOOL MORE|HOUSING UNITS|OCCUPIED HOUSING UNITS|OWNER OCCUPIED HOUSING|RENTER OCCUPIED HOUSING|PERCENT OWNER OCCUPIED|PERCENT RENTER OCCUPIED|MEDIAN HOUSE VALUE OWNER OCCUPIED|MEDIAN YEAR BUILT|VACANCY RATES
2010|1|1|220330001001|1624|73|1529|3|3|0|0|1608|16|893|28.4|28300|170|101|10|44|7|40|0|0|0|107|324|22|171|78|37|16|0|0|43.38%|585|498|669|1111|37.58%|62.42%|$67800.00|1969|14.87%
2010|2|1|220330002001|1171|112|1039|0|11|0|0|1162|9|683|31.7|32810|118|31|0|18|0|0|13|0|0|42|112|0|0|0|99|13|0|0|28.35%|550|439|518|701|42.49%|57.51%|$58300.00|1966|20.18%
2010|2|2|220330002002|1284|63|1209|5|0|1|0|1278|6|632|24.4|30641|128|26|0|26|0|0|0|0|0|343|143|50|75|0|18|0|0|0|16.29%|534|511|841|742|53.13%|46.87%|$103300.00|1960|4.31%
2010|2|3|220330002003|906|37|854|0|4|1|0|896|10|578|39.700000000000003|30875|83|66|0|0|0|33|0|0|33|144|184|10|117|0|57|0|0|0|35.54%|433|381|485|472|50.68%|49.32%|$104700.00|1970|12.01%
2010|2|4|220330002004|1078|50|1009|0|1|2|0|1062|16|521|23.8|21392|62|45|12|33|0|0|0|0|0|21|116|50|34|18|0|14|0|0|33.659999999999997%|289|289|165|720|18.64%|81.36%|$59300.00|1972|0%
2010|2|5|220330002005|1078|61|996|2|7|3|0|1069|9|590|28.3|36833|48|158|65|0|34|59|0|0|0|113|114|0|35|0|79|0|0|0|49.74%|392|372|771|496|60.85%|39.15%|$79800.00|1959|5.1%
2010|2|6|220330002006|1233|96|1101|1|2|4|4|1208|25|744|32.299999999999997|36994|106|172|0|114|26|32|0|0|0|114|169|15|58|83|0|13|0|0|50.13%|527|505|675|482|58.34%|41.66%|$76100.00|1967|4.17%
2010|3|1|220330003001|1795|94|1677|1|5|6|0|1783|12|1050|30.8|32500|249|123|52|53|0|18|0|0|0|254|119|33|58|0|12|16|0|0|25.86%|685|590|1087|448|70.81%|29.19%|$73800.00|1955|13.87%
2010|4|1|220330004001|1300|111|1168|4|1|3|0|1287|13|751|30.4|27903|72|91|0|52|17|22|0|0|0|264|162|0|58|54|39|11|0|0|31.39%|429|412|780|597|56.64%|43.36%|$68800.00|1964|3.96%
2010|4|2|220330004002|979|44|929|0|0|1|0|974|5|549|30|42909|181|74|23|32|11|8|0|0|0|160|134|46|53|29|6|0|0|0|31.18%|455|405|765|469|61.99%|38.01%|$82900.00|1964|10.99%
2010|4|3|220330004003|803|48|740|2|6|2|0|798|5|471|30.7|20508|39|12|12|0|0|0|0|0|0|77|83|11|62|10|0|0|0|0|33.450000000000003%|211|181|173|373|31.68%|68.319999999999993%|$64000.00|1968|14.22%
2010|5|1|220330005001|1610|42|1560|0|1|0|0|1603|7|977|32.5|22241|128|74|0|69|0|5|0|0|0|105|215|19|148|13|35|0|0|0|32.520000000000003%|559|452|530|709|42.78%|57.22%|$75100.00|1954|19.14%
